,URIs,"(index, label)"
378,"(785, 26, 29, 786, 787)","(378, 'konformität mit der hafenordnung sicherstellen')"
379,"(309, 788, 311)","(379, 'geschrieben ukrainisch verstehen')"
380,"(789,)","(380, 'persönlichkeitstheorium')"
381,"(790, 12)","(381, 'bohrvorrichtung überprüfen')"
382,"(791, 792)","(382, 'publikationsformat respektieren')"
383,"(793, 519)","(383, 'schneeräumgerät nutzen')"
384,"(794, 93, 795, 269)","(384, 'prototyp für user-experience-lösung erstellen')"
385,"(796, 797)","(385, 'reinraumanzug tragen')"
386,"(798, 222)","(386, 'stempelmaschin überwachen')"
387,"(799, 800, 7)","(387, 'organisationsbezogen systemrichtlin anwenden')"
