conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/S2.0.0,Informationskompetenzen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.0.0
SkillGroup,http://data.europa.eu/esco/skill/S2.1,"Durchführung von Studien, Ermittlungen und Untersuchungen",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.1
SkillGroup,http://data.europa.eu/esco/skill/S2.1.0,"Durchführung von Studien, Ermittlungen und Untersuchungen",,,released,2021-07-12T08:54:30.476Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.1.0
SkillGroup,http://data.europa.eu/esco/skill/S2.1.1,Durchführung von Untersuchungen,,,released,2021-09-20T12:08:42.511Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.1.1
SkillGroup,http://data.europa.eu/esco/skill/S2.1.2,Stellen medizinischer Diagnosen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.1.2
SkillGroup,http://data.europa.eu/esco/skill/S2.1.3,Interpretieren technischer Unterlagen und Diagramme,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.1.3
SkillGroup,http://data.europa.eu/esco/skill/S2.2,Dokumentation und Aufzeichnung von Informationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.2
SkillGroup,http://data.europa.eu/esco/skill/S2.2.0,Dokumentation und Aufzeichnung von Informationen,,,released,2020-12-10T10:43:07.597Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.2.0
SkillGroup,http://data.europa.eu/esco/skill/S2.2.1,"Erstellen von Finanzunterlagen, Aufzeichnungen, Berichten oder Haushaltsplänen",,,released,2020-12-10T22:08:37.954Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.2.1
SkillGroup,http://data.europa.eu/esco/skill/S2.2.2,Aufzeichnung rechtlicher Informationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.2.2
SkillGroup,http://data.europa.eu/esco/skill/S2.2.3,"Erstellen von Unterlagen für Verträge, Anträge oder Genehmigungen",,,released,2020-12-11T12:34:13.518Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.2.3
SkillGroup,http://data.europa.eu/esco/skill/S2.2.4,Führen oder Erstellen medizinischer Unterlagen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S2.2.4
SkillGroup,http://data.europa.eu/esco/skill/S2.2.5,Führen betrieblicher Aufzeichnungen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.2.5
SkillGroup,http://data.europa.eu/esco/skill/S2.2.6,"Dokumentation von technischen Entwürfen, Verfahren, Problemen oder Tätigkeiten",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S2.2.6
